,TL,TM,TR,ML,MM,MR,BL,BM,BL.1,MID,TMBL,TMBM,TMBR,LMRT,LMRM,LMRB,DP,DS,RTL
216,o,x,b,x,x,o,b,b,b,1,0,1,0,0,0,0,0,0,7
217,o,x,x,x,x,o,b,o,b,1,0,0,0,0,0,0,0,1,6
218,o,b,o,b,x,x,x,b,b,1,0,0,0,2,1,0,0,0,1
219,b,o,x,x,o,o,x,b,x,1,1,2,0,0,0,1,0,0,7
220,x,b,b,b,o,o,x,x,b,1,1,0,0,0,2,1,0,0,3
221,x,b,x,b,o,o,b,b,x,1,0,0,0,1,2,0,0,0,3
222,b,o,b,x,o,x,b,x,b,1,0,0,0,0,0,0,0,0,0
223,o,o,x,x,o,x,b,x,b,1,0,0,1,0,0,0,2,0,8
224,x,o,x,x,o,b,o,b,x,1,0,2,1,0,0,0,0,0,7
225,b,x,x,o,o,x,b,x,o,1,0,0,0,1,0,0,2,0,0
226,x,x,o,o,o,b,x,b,x,1,0,0,0,0,2,1,0,0,5
227,x,o,b,b,o,x,b,b,x,1,0,2,1,0,0,0,0,0,7
228,b,x,b,b,o,b,o,x,x,1,0,0,0,0,0,0,0,2,2
229,x,b,b,o,o,b,x,x,b,1,0,0,0,0,2,1,0,0,5
230,o,x,b,o,x,x,b,o,x,1,2,0,1,0,0,0,0,0,6
231,b,b,x,b,o,o,b,x,x,1,0,0,0,0,2,1,0,0,3
232,o,x,x,x,x,o,o,b,b,1,0,1,0,0,0,0,0,0,7
233,b,o,b,x,o,b,b,x,x,1,0,0,0,0,0,1,0,0,6
234,b,o,x,x,o,b,o,x,x,1,0,0,1,0,0,0,0,0,5
235,b,o,x,x,o,b,b,b,x,1,0,2,1,0,0,0,0,0,7
236,x,x,o,x,o,b,b,b,b,1,1,0,0,0,0,0,0,2,6
237,o,x,o,b,x,b,x,b,b,1,0,1,0,0,0,0,0,0,7
238,o,b,b,x,x,o,b,b,x,1,0,0,0,0,0,0,0,0,1
239,o,o,b,x,x,o,x,b,x,1,0,0,0,2,0,1,0,1,2
240,x,b,x,x,o,o,o,x,b,1,0,0,0,1,0,0,0,0,1
241,x,x,b,o,o,b,x,x,o,1,0,0,0,1,2,0,0,0,5
242,x,b,b,b,o,x,b,x,o,1,0,0,0,0,0,0,0,0,2
243,x,b,o,b,o,x,x,x,o,1,1,0,0,0,0,0,0,0,3
244,o,b,b,o,x,x,b,b,x,1,2,0,1,0,0,0,0,0,6
245,x,b,b,o,o,x,x,b,b,1,0,0,0,0,0,0,0,0,1
246,x,o,b,o,o,x,x,x,b,1,0,0,0,0,0,1,0,0,8
247,b,o,b,x,o,b,x,b,x,1,1,2,0,0,0,1,0,0,7
248,b,x,b,b,o,x,b,x,o,1,0,0,0,0,0,0,2,0,0
